Sample_ID,year,Month,Area,date,Latitude,Longitude
FDIR001,2019,April,Nordland,23/04/2019,68.23333333333333,14.566666666666666
FDIR002,2019,April,Nordland,24/04/2019,68.26666666666667,13.533333333333333
FDIR003,2019,April,Ishav,25/04/2019,69.56666666666666,17.95
FDIR004,2019,April,Ishav,25/04/2019,69.36666666666666,16.183333333333334
FDIR005,2019,April,Ishav,25/04/2019,69,14.966666666666667
FDIR007,2019,April,Ishav,26/04/2019,70,30
FDIR008,2019,April,Ishav,28/04/2019,70.13333333333334,24.583333333333332
FDIR024,2019,May,Nordland,28/05/2019,68.38333333333334,16.233333333333334
FDIR025,2019,May,Nordland,28/05/2019,68.23333333333333,15.65
FDIR026,2019,May,Nordland,30/05/2019,67.9,15.183333333333334
FDIR027,2019,May,Vest,30/05/2019,60.083333333333336,5.283333333333333
FDIR028,2019,May,Vest,31/05/2019,60.083333333333336,5.566666666666666
FDIR029,2019,June,Vest,01/06/2019,60.46666666666667,6.783333333333333
FDIR030,2019,June,Nordland,02/06/2019,68.41666666666667,16
FDIR031,2019,June,Vest,02/06/2019,60.166666666666664,6.566666666666666
FDIR033,2019,June,Sør,05/06/2019,59.53333333333333,6.416666666666667
FDIR034,2019,June,Sør,06/06/2019,59.11666666666667,5.45
FDIR035,2019,June,Sør,07/06/2019,58.78333333333333,5.466666666666667
FDIR036,2019,June,Sør,07/06/2019,58.25,6.216666666666667
FDIR037,2019,June,Ishav,08/06/2019,69,17.266666666666666
FDIR038,2019,June,Nordland,08/06/2019,67.86666666666666,14.566666666666666
FDIR039,2019,June,Nordland,08/06/2019,67.45,14.4
FDIR040,2019,June,Nordland,09/06/2019,67.01666666666667,13.783333333333333
FDIR041,2019,June,Nordland,09/06/2019,66.66666666666667,13.133333333333333
FDIR044,2019,June,Midt,09/06/2019,64.96666666666667,11.55
FDIR045,2019,June,Sør,09/06/2019,58.1,8.133333333333333
FDIR046,2019,June,Midt,10/06/2019,64.25,10.333333333333334
FDIR047,2019,June,Midt,10/06/2019,63.7,9.5
FDIR048,2019,June,Midt,10/06/2019,63.483333333333334,9.833333333333334
FDIR049,2019,June,Midt,10/06/2019,63.266666666666666,8.133333333333333
FDIR050,2019,June,Midt,10/06/2019,62.8,6.616666666666667
FDIR051,2019,June,Midt,10/06/2019,62.46666666666667,6.15
FDIR052,2019,June,Sør,10/06/2019,58.916666666666664,10.05
FDIR053,2019,June,Sør,10/06/2019,58.63333333333333,9.166666666666666
FDIR054,2019,June,Sør,10/06/2019,58.483333333333334,10.583333333333334
FDIR055,2019,June,Sør,10/06/2019,58.266666666666666,8.65
FDIR056,2019,June,Sør,13/06/2019,59.85,10.766666666666667
FDIR057,2019,June,Sør,14/06/2019,59.2,10.916666666666666
FDIR058,2019,June,Sør,23/06/2019,58.11666666666667,7.983333333333333
FDIR059,2019,August,Sør,16/08/2019,58.5,8.933333333333334
FDIR060,2019,August,Sør,18/08/2019,58.666666666666664,9.216666666666667
FDIR062,2019,August,Sør,19/08/2019,58.71666666666667,9.233333333333333
FDIR063,2019,August,Sør,25/08/2019,58,7.35
FDIR070,2019,May,Vest,18/05/2019,61.483333333333334,4.966666666666667
FDIR071,2019,May,Vest,19/05/2019,60.8,5.05
FDIR072,2019,May,Vest,20/05/2019,60.38333333333333,5.3
FDIR073,2019,May,Vest,18/05/2019,62,5.216666666666667
FDIR074,2019,May,Midt,15/05/2019,63.21666666666667,7.933333333333334
FDIR075,2019,May,Midt,15/05/2019,62.75,6.533333333333333
FDIR076,2019,May,Midt,16/05/2019,62.31666666666667,5.533333333333333
FDIR077,2019,May,Vest,17/05/2019,62.03333333333333,5.333333333333333
FDIR080,2019,June,Vest,04/06/2019,59.68333333333333,5.4
FDIR088,2019,August,Sør,19/08/2019,58.85,9.433333333333334
FDIR092,2019,May,Midt,15/05/2019,63.916666666666664,9.05
FDIR093,2019,May,Midt,12/05/2019,63.43333333333333,10.4
FDIR094,2019,May,Midt,15/05/2019,63.85,8.666666666666666
FDIR095,2019,April,Midt,30/04/2019,64.61666666666666,11
FDIR096,2019,May,Midt,01/05/2019,63.71666666666667,8.833333333333334
FDIR097,2019,June,Nordland,09/06/2019,65.38333333333334,12.116666666666667
FDIR099,2019,June,Nordland,09/06/2019,66.01666666666667,12.55
FDIR100,2019,April,Nordland,25/04/2019,67.46666666666667,12.016666666666667
FDIR101,2019,April,Nordland,28/04/2019,67.21666666666667,14.116666666666667
FDIR102,2019,April,Nordland,29/04/2019,66.8,13.45
FDIR103,2019,April,Nordland,29/04/2019,65.98333333333333,12.366666666666667
FDIR104,2019,May,Ishav,04/05/2019,70.91666666666667,27.05
