YEAR,POUNDS,VALUE,PRICE/LB
1950,185481500,"1,269,467",0.01
1951,59738100,"913,689",0.02
1952,144661100,"1,752,497",0.01
1953,100587500,"1,621,170",0.02
1954,123602000,"1,769,516",0.01
1955,99415800,"1,352,969",0.01
1956,140472300,"2,299,320",0.02
1957,153621100,"2,312,056",0.02
1958,170977300,"2,562,805",0.01
1959,117149800,"1,880,121",0.02
1960,152327300,"2,486,250",0.02
1961,54462600,"1,035,522",0.02
1962,156699400,"2,374,552",0.02
1963,152316800,"1,649,042",0.01
1964,57660641,"1,209,581",0.02
1965,70179523,"1,167,683",0.02
1966,58298675,"1,208,693",0.02
1967,64599660,"1,537,697",0.02
1968,59703321,"1,668,443",0.03
1969,54213635,"967,657",0.02
1970,36593185,"653,114",0.02
1971,28570370,"687,346",0.02
1972,44689750,"1,787,072",0.04
1973,37384405,"1,095,072",0.03
1974,47397980,"1,792,546",0.04
1975,38247475,"1,422,695",0.04
1976,70233465,"3,053,366",0.04
1977,73049915,"3,545,465",0.05
1978,66895150,"3,781,612",0.06
1979,89375145,"4,583,641",0.05
1980,107823120,"5,976,744",0.06
1981,114592828,"6,435,366",0.06
1982,51160800,"2,758,156",0.05
1983,40036938,"2,171,224",0.05
1984,44960437,"2,449,934",0.05
1985,32120729,"1,905,771",0.06
1986,43644838,"2,440,200",0.06
1987,45158678,"2,551,476",0.06
1988,36443512,"2,368,897",0.07
1989,34446305,"1,882,496",0.05
1990,49391482,"2,665,381",0.05
1991,53630630,"3,601,524",0.07
1992,61835897,"3,947,739",0.06
1993,76608916,"4,832,917",0.06
1994,77880630,"4,642,750",0.06
1995,94853634,"5,760,054",0.06
1996,111016104,"6,804,505",0.06
1997,123236252,"7,075,316",0.06
1998,68255041,"4,746,242",0.07
1999,111415907,"7,710,270",0.07
2000,100096801,"6,400,254",0.06
2001,115824675,"7,164,559",0.06
2002,67168589,"6,448,964",0.07
2003,96680581,"7,296,176",0.08
2004,92134922,"7,942,709",0.09
2005,89339497,"9,341,079",0.11
2006,89797819,"9,499,679",0.11
2007,71750312,"8,250,463",0.12
2008,67482579,"8,327,328",0.13
2009,64605734,"7,850,007",0.12
2010,57500777,"8,572,391",0.15
2011,"970,53,021","14,372,011",0.15
2012,92527533,"14,483,090",0.16
2013,98858907,"15,492,024",0.16
2014,103529863,"16,211,924",0.16
2015,86485073,"13,533,469",0.16
2016,77225524,"19,019,337",0.25
